name,aliases(かな・別名/区切り),unit_type(weight/count),base_qty,default_qty,step_qty,unit_label,kcal,protein_g,fat_g,carb_g,fiber_g,sort_order,is_active
鶏むね(皮なし),,weight,100,120,10,g,105,23.3,1.9,0.1,0,1,true
鶏ささみ,,weight,100,150,10,g,98,23.9,0.8,0.1,0,2,true
豚ヒレ,,weight,100,120,10,g,118,22.2,3.7,0.3,0,3,true
全卵,,count,1,1,1,個,71.0,6.1,5.1,0.2,0.0,4,true
サバ水煮缶,,count,1,1,1,缶,174.0,20.9,10.7,0.2,0.0,5,true
鮭,,weight,100,100,10,g,124,22.3,4.1,0.1,0,6,true
木綿豆腐,,weight,100,150,10,g,73,7.0,4.9,1.5,1.1,7,true
納豆,,count,1,1,1,パック,85.5,7.4,4.5,5.4,3.0,8,true
無脂肪ギリシャヨーグルト,,weight,100,100,10,g,59,10.2,0.2,4.0,0,9,true
プロテイン(WPC),,count,1,1,1,杯,117.0,21.9,1.5,3.0,0.0,10,true
白米(飯),,weight,100,180,10,g,156,2.5,0.3,37.1,1.5,11,true
玄米(飯),,weight,100,180,10,g,152,2.8,1.0,35.6,1.4,12,true
もち麦飯,,weight,100,150,10,g,145,2.7,0.6,31.0,2.6,13,true
オートミール(乾),,weight,100,40,10,g,350,13.7,5.7,69.1,9.4,14,true
バナナ,,count,1,1,1,本,93.0,1.1,0.2,22.5,1.1,15,true
さつまいも,,weight,100,120,10,g,126,1.2,0.2,31.9,2.8,16,true
そば(ゆで),,weight,100,180,10,g,130,4.8,1.0,26.0,2.9,17,true
ブロッコリー,,weight,100,80,10,g,30,2.6,0.4,4.3,4.3,18,true
ほうれん草,,weight,100,80,10,g,23,2.6,0.5,4.0,3.6,19,true
キャベツ,,weight,100,80,10,g,21,1.2,0.1,5.2,1.8,20,true
玉ねぎ,,weight,100,50,10,g,33,1.0,0.1,8.4,1.5,21,true
なす,,weight,100,60,10,g,18,1.1,0.1,5.1,2.2,22,true
ピーマン,,weight,100,40,10,g,20,0.9,0.2,5.1,2.3,23,true
トマト,,weight,100,80,10,g,20,0.7,0.1,4.7,1.0,24,true
わかめ(戻し),,weight,100,30,10,g,16,1.9,0.3,5.8,3.6,25,true
しめじ,,weight,100,50,10,g,22,2.7,0.5,4.8,3.7,26,true
キムチ,,weight,100,40,10,g,27,2.3,0.2,5.4,2.2,27,true
枝豆(ゆで),,weight,100,60,10,g,118,11.5,6.1,8.9,4.6,28,true
アボカド,,count,1,1,1,個,246.4,2.9,24.5,11.1,7.8,29,true
アーモンド,,weight,100,15,10,g,587,19.6,51.8,20.9,10.1,30,true
オリーブ油,,weight,100,10,10,g,894,0,100,0,0,31,true
はちみつ,,weight,100,10,10,g,329,0.3,0,81.9,0,32,true
きなこ,,weight,100,10,10,g,451,36.7,25.7,28.5,18.1,33,true
ブルーベリー,,weight,100,50,10,g,48,0.5,0.1,12.9,3.3,34,true
じゃがいも,,weight,100,100,10,g,59,1.8,0.1,17.3,1.2,35,true
